scenario,expected_profile,controls,raw_r,partial_r,legacy_classification,crossfit_residual_r,crossfit_permutation_p,baseline_mse,augmented_mse,delta_mse,relative_mse_improvement,calibration_pass,explanation
null_metric,no-increment,baseline,-0.025889460804057785,-0.029047430479453754,weak-or-mixed,-0.1010347940829224,0.245,0.020165932315960037,0.020152010378534098,1.392193742593903e-05,0.000690369143752442,True,Independent noise should remain null before and after adjustment.
linear_proxy,proxy-washout,baseline,0.889306359184331,-0.013402596715964983,washout,-0.012493923189110353,0.9,0.014794076729685747,0.015142753587707261,-0.0003486768580215141,-0.023568679843457903,True,A noisy copy of the baseline should lose its apparent target signal.
nonlinear_proxy,nonlinear-proxy-washout,baseline,0.9424700068611301,0.9420875207345151,survives,-0.11539690256267794,0.155,0.007265800421851798,0.007195419936595982,7.038048525581566e-05,0.00968654259262989,True,A U-shaped proxy exposes the limitation of linear partial ranks.
genuine_increment,increment-survives,baseline,0.7244460123500343,0.8740679803233155,survives,0.8312799499965274,0.005,0.053743857901923674,0.01226375613680134,0.04148010176512233,0.7718110196111846,True,A metric with independent latent signal should improve prediction.
heteroskedastic_null,conditional-null,baseline,-0.10293345259292386,-0.03377235963249829,weak-or-mixed,-0.05302451559136051,0.55,0.007591168500415047,0.0077144804388907485,-0.00012331193847570174,-0.016244131383588663,True,Independent errors share baseline-dependent variance but no conditional signal.
clustered_null,conditional-null,baseline,0.7948119300331389,0.0074768024391506155,washout,0.012910618792971732,0.905,0.018475363079628958,0.018905152314863373,-0.00042978923523441515,-0.02326283025573139,True,Independent configuration-level shocks test grouped folds and inference.
simpson_increment,increment-after-environment-control,"baseline,environment",-0.42707329742582617,0.8037242622139602,sign-inversion,0.8111396624765608,0.005,0.02445236965460684,0.008307053134867274,0.016145316519739564,0.6602761510558867,True,Environment pooling masks a genuine within-environment relationship.
post_treatment_control,estimand-warning,"baseline,mediator",0.8996076655768488,0.018149644840336293,washout,0.02755052434196819,0.755,0.012508355340750893,0.012670993123237632,-0.0001626377824867388,-0.01300233148612929,True,Controlling a mediator removes the total effect by design.
