scope,case_name,expected_signal,polynomial_degree,nuisance_model,n,repetitions,joint_decision_rate,joint_decision_ci_low,joint_decision_ci_high,sign_correct_rate,median_residual_r,median_delta_mse
balanced_pool,opposite_sign_task_specialists,heterogeneous,1,extra_trees,108,50,0.02,0.003539259271646236,0.10495443589637815,1.0,-0.010195523280950903,0.051781296407271006
task1,injected_increment,True,1,extra_trees,96,50,1.0,0.9286524008666414,1.0,1.0,0.7339766664400669,0.024214708510619187
task1,real_design_proxy,False,1,extra_trees,96,50,1.0,0.9286524008666414,1.0,1.0,0.4602193880168538,0.02363051081604427
task1,real_structure_null,False,1,extra_trees,96,50,0.02,0.003539259271646236,0.10495443589637815,1.0,-0.022655669770714672,5.165648822257757e-06
task1,task_specialist,True,1,extra_trees,96,50,1.0,0.9286524008666414,1.0,1.0,0.8132509405791164,0.07021225475143958
task2,injected_increment,True,1,extra_trees,54,50,1.0,0.9286524008666414,1.0,1.0,0.7991460755943547,0.0212292148528409
task2,real_design_proxy,False,1,extra_trees,54,50,1.0,0.9286524008666414,1.0,1.0,0.6438338979031688,0.0194702397679844
task2,real_structure_null,False,1,extra_trees,54,50,0.02,0.003539259271646236,0.10495443589637815,1.0,0.0038500078462044684,4.1654283790710026e-05
task2,task_specialist,True,1,extra_trees,54,50,1.0,0.9286524008666414,1.0,1.0,-0.8555827785471237,0.05998502786997795
