sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
100,5,null_metric,False,polynomial_ridge_interactions,0.72,-0.0005282564746195671,-0.0012545797029284305,False,False
100,5,nonlinear_proxy,False,polynomial_ridge,0.15,-0.0005526055416705516,-0.0014265092987944187,False,False
100,5,nonlinear_proxy,False,polynomial_ridge_interactions,0.07,-0.00027974830015569784,-0.0006800307676083018,False,False
100,5,heteroskedastic_null,False,polynomial_ridge,0.41,-0.00023603093075851705,-0.0008660774020855427,False,False
100,5,heteroskedastic_null,False,polynomial_ridge_interactions,0.22,0.0002356085626326835,-0.0011213304344420783,False,False
100,5,clustered_null,False,polynomial_ridge,0.26,-0.021804301300778144,-0.032386403585059925,False,False
100,5,clustered_null,False,polynomial_ridge_interactions,0.43,0.006843422708804493,-0.054814215090028845,False,False
100,5,genuine_increment,True,polynomial_ridge,0.01,0.04410629611135251,0.028193004164303957,True,True
100,5,genuine_increment,True,polynomial_ridge_interactions,0.01,0.049121818842942706,0.03419236532916234,True,True
100,6,null_metric,False,polynomial_ridge,0.09,-0.0015003108644535586,-0.0033342047847963224,False,False
100,6,null_metric,False,polynomial_ridge_interactions,0.02,-0.0004766137184717134,-0.0015407029373631748,False,False
100,6,nonlinear_proxy,False,polynomial_ridge,0.48,-6.249425247666258e-05,-0.0007452370647754185,False,False
100,6,nonlinear_proxy,False,polynomial_ridge_interactions,0.39,-0.0007505301954178981,-0.0008109961844435923,False,False
100,6,heteroskedastic_null,False,polynomial_ridge,0.14,-0.0005589036169844196,-0.0031412266515066655,False,False
100,6,heteroskedastic_null,False,polynomial_ridge_interactions,0.17,-0.0008161753311989994,-0.0009430220469309199,False,False
100,6,clustered_null,False,polynomial_ridge,0.57,-0.009779140318736366,-0.03689576136594919,False,False
100,6,clustered_null,False,polynomial_ridge_interactions,0.39,0.0015044341104919132,-0.06934525438971899,False,False
100,6,genuine_increment,True,polynomial_ridge,0.01,0.035474566772698675,0.0206871809766954,True,True
