structure,repetitions,rejections,rejection_rate,wilson_95_low,wilson_95_high
clustered,500,35,0.07,0.05075944317125315,0.09579772876532376
heteroskedastic,500,24,0.048,0.03246497509125218,0.07042768006068446
homoskedastic,500,25,0.05,0.03409350665098192,0.07276865002683111
unequal_blocks,500,29,0.058,0.040683464783922846,0.08205669799739573
