scenario,expected_stable_increment,contains_conditional_increment,repetitions,mbe_additive_support_rate,mbe_interaction_support_rate,raw_spearman_median,raw_spearman_q05,raw_spearman_q95,raw_kendall_median,raw_kendall_q05,raw_kendall_q95,partial_spearman_median,partial_spearman_q05,partial_spearman_q95,granulated_kendall_median,granulated_kendall_q05,granulated_kendall_q95,granulated_min_axis_median,granulated_min_axis_q05,granulated_min_axis_q95,jiang_cmi_median,jiang_cmi_q05,jiang_cmi_q95,mbe_additive_delta_median,mbe_additive_delta_q05,mbe_additive_delta_q95,mbe_interaction_delta_median,mbe_interaction_delta_q05,mbe_interaction_delta_q95
independent_null,False,False,50,0.0,0.04,-0.003663003663003663,-0.29160561660561657,0.24053724053724052,-0.005698005698005699,-0.20712250712250715,0.1566951566951567,-0.0071604865781660434,-0.12242329499583787,0.12353638594098278,-0.024691358024691357,-0.2592592592592593,0.2098765432098765,-0.2592592592592593,-0.40740740740740744,0.0037037037037035217,0.0056340370652568925,5.85505390620652e-06,0.03111453929889661,-0.0006409875647556094,-0.0016337898011573682,0.00044934262379041866,-0.00041885013238200305,-0.001499839483120786,0.0004094625502467747
design_proxy,False,False,50,0.68,0.04,0.9771062271062271,0.9654151404151403,0.9884004884004883,0.8945868945868948,0.8601139601139602,0.9259259259259262,0.6222009563067066,0.5477819206850577,0.690371769998961,0.7777777777777777,0.6901234567901234,0.8765432098765432,0.6296296296296295,0.44074074074074077,0.7777777777777778,0.41757511539610054,0.2869119418814788,0.5678309226001975,0.003652593111395483,0.001341908937606625,0.008592366033452337,-0.00046106431887798366,-0.002791894356394638,0.0012743784366124084
interaction_proxy,False,False,50,0.88,0.02,0.7594627594627594,0.6339133089133089,0.8259768009768009,0.5811965811965814,0.4612535612535613,0.6555555555555557,0.38484185503193125,0.263664577870548,0.4681674878725426,0.43209876543209874,0.28148148148148155,0.6320987654320986,-0.03703703703703703,-0.3333333333333333,0.2999999999999998,0.15845417383628738,0.09455547850915938,0.22650657588327142,0.005343054030571169,0.0023979481930768596,0.008980155725926333,-0.0007735629468094436,-0.0024941910603210236,0.00036507361536128953
genuine_increment,True,True,50,0.92,0.96,0.5866910866910866,0.44957264957264953,0.7369963369963369,0.41595441595441607,0.30883190883190886,0.5555555555555557,0.7945125372837016,0.6865112405999435,0.8778671100000193,0.5555555555555556,0.4567901234567901,0.717283950617284,0.3333333333333333,0.037037037037037056,0.5555555555555556,0.12868717462686555,0.05625788127550768,0.23473534756928865,0.03760814918745238,0.015066908466357578,0.06414493809684753,0.049673190745954374,0.016203110851760696,0.08253133855573808
axis_specialist_proxy,False,False,50,0.0,0.0,0.8311965811965811,0.7880036630036629,0.8796398046398046,0.6296296296296297,0.5524216524216525,0.7011396011396013,-0.004471611764436631,-0.12366811436209647,0.18695206400754516,0.3333333333333333,0.14691358024691356,0.4950617283950617,-0.1111111111111111,-0.44814814814814813,0.11111111111111112,0.028108282738822966,0.003852266931132378,0.07310221941123012,-0.0005834580431496239,-0.0018649291295459339,0.0006467650981164348,-0.00044968332109356947,-0.0011801156410235593,0.0002087954447786546
sign_flip_increment,False,True,50,0.02,0.1,-0.08058608058608059,-0.38183760683760687,0.19563492063492055,-0.059829059829059845,-0.30541310541310546,0.13561253561253556,-0.08523120232411337,-0.29065378327168506,0.2509892466539788,-0.07407407407407408,-0.2592592592592593,0.12469135802469129,-0.2592592592592593,-0.5555555555555556,0.03703703703703704,0.006009804432591001,9.485432572586155e-05,0.060969835190397094,-0.011528242069833973,-0.06637809933591612,0.01036988869308671,0.04278704734604852,0.016046633454801364,0.10277132982896575
