scenario,expected_increment,repetitions,support_rate,median_delta_mse,median_refit_ci_low
clustered_null,False,20,0.0,-0.003628217436955848,-0.015100391157918865
genuine_increment,True,20,1.0,0.04037061305418335,0.030143751136769266
nonlinear_proxy,False,20,0.0,-0.00015998486890606966,-0.0005624297264007856
null_metric,False,20,0.0,-0.001060748329226929,-0.002245417563435231
