hyperparameter,source_config,destination_config,weight_sum,effective_sample_size,complexity.dist_spec_init_fft,complexity.fro_dist,complexity.fro_over_spec_fft,complexity.inverse_margin,complexity.log_prod_of_fro,complexity.log_prod_of_fro_over_margin,complexity.log_prod_of_spec_fft,complexity.log_prod_of_spec_over_margin_fft,complexity.log_spec_init_main_fft,complexity.log_spec_orig_main_fft,complexity.log_sum_of_fro,complexity.log_sum_of_fro_over_margin,complexity.log_sum_of_spec_fft,complexity.log_sum_of_spec_over_margin_fft,complexity.pacbayes_flatness,complexity.pacbayes_init,complexity.pacbayes_mag_flatness,complexity.pacbayes_mag_init,complexity.pacbayes_mag_orig,complexity.pacbayes_orig,complexity.param_norm,complexity.params,complexity.path_norm,complexity.path_norm_over_margin
hp.dataset,-9215028591064597233,1265618961717963242,50.0,100.0,0.69,1.0,0.0,0.1,0.0,0.0,0.96,0.91,0.59,0.84,0.0,0.0,0.96,0.91,0.05,0.52,0.09,1.0,1.0,0.17,0.99,0.5,1.0,1.0
hp.dataset,1265618961717963242,-9215028591064597233,50.0,100.0,0.69,1.0,0.0,0.1,0.0,0.0,0.96,0.91,0.59,0.84,0.0,0.0,0.96,0.91,0.05,0.52,0.09,1.0,1.0,0.17,0.99,0.5,1.0,1.0
hp.dataset,-4925556964554421379,-9203390116646303883,50.0,100.0,0.83,0.69,0.31,0.0,1.0,1.0,0.96,0.9,0.83,0.89,1.0,1.0,0.96,0.9,0.0,0.0,0.02,1.0,1.0,0.0,0.83,0.5,1.0,1.0
hp.dataset,-9203390116646303883,-4925556964554421379,50.0,100.0,0.83,0.69,0.31,0.0,1.0,1.0,0.96,0.9,0.83,0.89,1.0,1.0,0.96,0.9,0.0,0.0,0.02,1.0,1.0,0.0,0.83,0.5,1.0,1.0
hp.dataset,-9189606704704823680,8998454878609518201,50.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.98,0.92,0.74,0.89,0.0,0.0,0.98,0.92,0.01,1.0,0.66,1.0,1.0,0.92,1.0,0.5,0.31,0.12
hp.dataset,8998454878609518201,-9189606704704823680,50.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.98,0.92,0.74,0.89,0.0,0.0,0.98,0.92,0.01,1.0,0.66,1.0,1.0,0.92,1.0,0.5,0.31,0.12
hp.dataset,-6908944666122499966,-9189106766392000589,50.0,100.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,1.0,1.0,0.0,0.0,0.5,0.46,0.01
hp.dataset,-9189106766392000589,-6908944666122499966,50.0,100.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,1.0,1.0,0.0,0.0,0.5,0.46,0.01
hp.dataset,-8094330723375758649,-9184970794289370768,50.0,100.0,1.0,0.82,0.01,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03,0.28,0.3,1.0,1.0,0.25,0.96,0.5,1.0,1.0
hp.dataset,-9184970794289370768,-8094330723375758649,50.0,100.0,1.0,0.82,0.01,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03,0.28,0.3,1.0,1.0,0.25,0.96,0.5,1.0,1.0
hp.dataset,-2663918635727708892,-9183739334419324358,50.0,100.0,1.0,1.0,0.41,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.765,1.0,0.775,1.0,1.0,0.99,0.96,0.5,1.0,1.0
hp.dataset,-9183739334419324358,-2663918635727708892,50.0,100.0,1.0,1.0,0.41,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.765,1.0,0.775,1.0,1.0,0.99,0.96,0.5,1.0,1.0
hp.dataset,-6236891526817797406,-9126990343635290800,50.0,100.0,0.97,0.09,0.32,0.02,0.35,0.19,0.94,0.9,0.89,0.9,0.35,0.19,0.94,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.5,0.01,0.0
hp.dataset,-9126990343635290800,-6236891526817797406,50.0,100.0,0.97,0.09,0.32,0.02,0.35,0.19,0.94,0.9,0.89,0.9,0.35,0.19,0.94,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.5,0.01,0.0
hp.dataset,-9045028962930396625,6526456936436059805,50.0,100.0,0.0,0.0,1.0,0.0,0.77,0.41,0.87,0.86,0.83,0.86,0.77,0.41,0.87,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.5,0.98,0.76
hp.dataset,6526456936436059805,-9045028962930396625,50.0,100.0,0.0,0.0,1.0,0.0,0.77,0.41,0.87,0.86,0.83,0.86,0.77,0.41,0.87,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.5,0.98,0.76
hp.dataset,-9019583836294415073,2000686202486377191,15.0,30.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0
hp.dataset,2000686202486377191,-9019583836294415073,15.0,30.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0
hp.dataset,-3400634835874782034,-8980624628020321232,45.0,90.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5888888888888889,0.0,0.0,0.5,0.08888888888888889,0.0
hp.dataset,-8980624628020321232,-3400634835874782034,45.0,90.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5888888888888889,0.0,0.0,0.5,0.08888888888888889,0.0
hp.dataset,-8966877504795741640,815231090459926838,50.0,100.0,0.0,0.0,1.0,0.0,1.0,0.99,0.61,0.4,0.4,0.49,1.0,0.99,0.61,0.4,0.0,0.0,0.0,0.0,0.14,0.0,1.0,0.5,1.0,1.0
hp.dataset,815231090459926838,-8966877504795741640,50.0,100.0,0.0,0.0,1.0,0.0,1.0,0.99,0.61,0.4,0.4,0.49,1.0,0.99,0.61,0.4,0.0,0.0,0.0,0.0,0.14,0.0,1.0,0.5,1.0,1.0
hp.dataset,-8938488763629659208,2669803334973672789,50.0,100.0,1.0,1.0,0.21,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.895,1.0,0.81,1.0,1.0,0.98,0.99,0.5,1.0,1.0
hp.dataset,2669803334973672789,-8938488763629659208,50.0,100.0,1.0,1.0,0.21,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.895,1.0,0.81,1.0,1.0,0.98,0.99,0.5,1.0,1.0
hp.dataset,-8933779815182729460,8236851151040337865,49.33194387802041,99.91224011940598,0.0,0.0,1.0,0.9898662926883978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11693070490483368,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,8236851151040337865,-8933779815182729460,49.33194387802041,99.91224011940598,0.0,0.0,1.0,0.9898662926883978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11693070490483368,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8816374228048116317,6691536861855683040,50.0,100.0,0.0,0.0,1.0,0.0,0.64,0.25,0.0,0.0,0.0,0.0,0.64,0.25,0.0,0.0,0.0,0.0,0.11,0.1,0.62,0.0,0.25,0.5,0.9,0.35
hp.dataset,6691536861855683040,-8816374228048116317,50.0,100.0,0.0,0.0,1.0,0.0,0.64,0.25,0.0,0.0,0.0,0.0,0.64,0.25,0.0,0.0,0.0,0.0,0.11,0.1,0.62,0.0,0.25,0.5,0.9,0.35
hp.dataset,-8793550033514982181,7387538424811921937,18.0,36.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,0.0,0.2222222222222222,0.16666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.5,0.027777777777777776,0.0
hp.dataset,7387538424811921937,-8793550033514982181,18.0,36.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,0.0,0.2222222222222222,0.16666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.5,0.027777777777777776,0.0
hp.dataset,-1899577233977140498,-8774153044326048547,50.0,100.0,0.03,0.01,0.62,0.02,0.57,0.29,0.96,0.91,0.73,0.94,0.57,0.29,0.96,0.91,0.0,0.0,0.135,1.0,1.0,0.0,0.01,0.5,1.0,1.0
hp.dataset,-8774153044326048547,-1899577233977140498,50.0,100.0,0.03,0.01,0.62,0.02,0.57,0.29,0.96,0.91,0.73,0.94,0.57,0.29,0.96,0.91,0.0,0.0,0.135,1.0,1.0,0.0,0.01,0.5,1.0,1.0
hp.dataset,-8769968563521659137,259726829023820822,16.0,32.0,0.65625,0.0,0.28125,0.03125,0.03125,0.0,0.9375,0.8125,0.78125,0.84375,0.03125,0.0,0.9375,0.8125,0.0,0.0,0.0,0.0,0.46875,0.0,0.0,0.5,0.0,0.0
hp.dataset,259726829023820822,-8769968563521659137,16.0,32.0,0.65625,0.0,0.28125,0.03125,0.03125,0.0,0.9375,0.8125,0.78125,0.84375,0.03125,0.0,0.9375,0.8125,0.0,0.0,0.0,0.0,0.46875,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8758357633982174774,957646248878915862,11.019046095190962,38.77180792063862,0.0,0.0,1.0,0.9878891304357865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,957646248878915862,-8758357633982174774,11.019046095190962,38.77180792063862,0.0,0.0,1.0,0.9878891304357865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-4800595012629907710,-8758022463301673029,50.0,100.0,0.06,0.0,0.56,0.0,0.0,0.0,0.87,0.71,0.41,0.71,0.0,0.0,0.87,0.71,0.0,0.0,0.45,0.96,1.0,0.0,0.0,0.5,1.0,1.0
hp.dataset,-8758022463301673029,-4800595012629907710,50.0,100.0,0.06,0.0,0.56,0.0,0.0,0.0,0.87,0.71,0.41,0.71,0.0,0.0,0.87,0.71,0.0,0.0,0.45,0.96,1.0,0.0,0.0,0.5,1.0,1.0
hp.dataset,-7949823724375754998,-8748528619735664451,50.0,100.0,1.0,1.0,0.18,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.755,1.0,0.915,1.0,1.0,0.95,1.0,0.5,1.0,1.0
hp.dataset,-8748528619735664451,-7949823724375754998,50.0,100.0,1.0,1.0,0.18,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.755,1.0,0.915,1.0,1.0,0.95,1.0,0.5,1.0,1.0
hp.dataset,-4930788438886368166,-8743721234284131576,50.0,100.0,1.0,0.77,0.58,0.03,0.81,0.69,1.0,1.0,1.0,1.0,0.81,0.69,1.0,1.0,0.0,0.0,0.13,0.21,0.39,0.0,0.98,0.5,1.0,0.96
hp.dataset,-8743721234284131576,-4930788438886368166,50.0,100.0,1.0,0.77,0.58,0.03,0.81,0.69,1.0,1.0,1.0,1.0,0.81,0.69,1.0,1.0,0.0,0.0,0.13,0.21,0.39,0.0,0.98,0.5,1.0,0.96
hp.dataset,-7538406094140107358,-8740357266353751880,40.0,80.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.4,0.25,0.1,0.2375,0.0,0.0,0.4,0.25,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.5,0.4875,0.2375
hp.dataset,-8740357266353751880,-7538406094140107358,40.0,80.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.4,0.25,0.1,0.2375,0.0,0.0,0.4,0.25,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.5,0.4875,0.2375
hp.dataset,-8721073960446535097,8857721819715518448,50.0,100.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,8857721819715518448,-8721073960446535097,50.0,100.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8712277620075176523,8171653223209200475,50.0,100.0,0.0,0.0,0.97,0.0,0.13,0.04,0.23,0.16,0.11,0.18,0.13,0.04,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.5,1.0,0.96
hp.dataset,8171653223209200475,-8712277620075176523,50.0,100.0,0.0,0.0,0.97,0.0,0.13,0.04,0.23,0.16,0.11,0.18,0.13,0.04,0.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.5,1.0,0.96
hp.dataset,-1120160834054265913,-8700211769796721946,49.99999725810752,99.99999999998958,1.0,1.0,0.3799999728947439,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7150000144451463,1.0,0.945000047704241,1.0,1.0,0.9499999974320528,1.0,0.5,1.0,1.0
hp.dataset,-8700211769796721946,-1120160834054265913,49.99999725810752,99.99999999998958,1.0,1.0,0.3799999728947439,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7150000144451463,1.0,0.945000047704241,1.0,1.0,0.9499999974320528,1.0,0.5,1.0,1.0
hp.dataset,-8675104526394168569,7677153858490949397,50.0,100.0,0.93,0.57,0.06,0.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.05,0.19,1.0,1.0,0.03,0.98,0.5,1.0,1.0
hp.dataset,7677153858490949397,-8675104526394168569,50.0,100.0,0.93,0.57,0.06,0.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.05,0.19,1.0,1.0,0.03,0.98,0.5,1.0,1.0
hp.dataset,-8669549127579810158,6242872809084145412,50.0,100.0,0.15,0.0,0.21,0.01,0.0,0.0,0.73,0.49,0.13,0.48,0.0,0.0,0.73,0.49,0.0,0.0,0.17,1.0,1.0,0.0,0.02,0.5,0.42,0.15
hp.dataset,6242872809084145412,-8669549127579810158,50.0,100.0,0.15,0.0,0.21,0.01,0.0,0.0,0.73,0.49,0.13,0.48,0.0,0.0,0.73,0.49,0.0,0.0,0.17,1.0,1.0,0.0,0.02,0.5,0.42,0.15
hp.dataset,-8012208487344958137,-8632505217412145660,50.0,100.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8632505217412145660,-8012208487344958137,50.0,100.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8621172677246758868,904114403664813360,50.0,100.0,0.51,0.0,0.83,0.0,0.49,0.33,0.88,0.83,0.81,0.84,0.49,0.33,0.88,0.83,0.0,0.0,0.09,0.09,0.34,0.0,0.95,0.5,0.97,0.9
hp.dataset,904114403664813360,-8621172677246758868,50.0,100.0,0.51,0.0,0.83,0.0,0.49,0.33,0.88,0.83,0.81,0.84,0.49,0.33,0.88,0.83,0.0,0.0,0.09,0.09,0.34,0.0,0.95,0.5,0.97,0.9
hp.dataset,-700804490513755867,-8614620121285914294,50.0,100.0,0.0,0.0,0.54,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8614620121285914294,-700804490513755867,50.0,100.0,0.0,0.0,0.54,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8602826448358649651,3040468844764913,50.0,100.0,0.99,1.0,0.06,0.06,0.89,0.76,1.0,1.0,0.97,1.0,0.89,0.76,1.0,1.0,0.0,0.89,0.67,1.0,1.0,0.4,1.0,0.5,1.0,1.0
hp.dataset,3040468844764913,-8602826448358649651,50.0,100.0,0.99,1.0,0.06,0.06,0.89,0.76,1.0,1.0,0.97,1.0,0.89,0.76,1.0,1.0,0.0,0.89,0.67,1.0,1.0,0.4,1.0,0.5,1.0,1.0
hp.dataset,-6091308917669976651,-8576154924990382634,20.0,40.0,0.0,0.0,0.075,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8576154924990382634,-6091308917669976651,20.0,40.0,0.0,0.0,0.075,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8565301604656697530,2557815320549972116,50.0,100.0,0.11,0.0,1.0,0.01,0.93,0.82,0.24,0.12,0.11,0.14,0.93,0.82,0.24,0.12,0.0,0.0,0.0,0.03,0.09,0.0,0.98,0.5,0.89,0.55
hp.dataset,2557815320549972116,-8565301604656697530,50.0,100.0,0.11,0.0,1.0,0.01,0.93,0.82,0.24,0.12,0.11,0.14,0.93,0.82,0.24,0.12,0.0,0.0,0.0,0.03,0.09,0.0,0.98,0.5,0.89,0.55
hp.dataset,-3096482365582575547,-8551709449808038079,49.68981544146293,99.98001988575561,0.0,0.0,1.0,0.9798807679452105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2785823108734983,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8551709449808038079,-3096482365582575547,49.68981544146293,99.98001988575561,0.0,0.0,1.0,0.9798807679452105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2785823108734983,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8451184111850694734,7600845967297428080,50.0,100.0,1.0,0.95,0.39,0.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.0,0.12,0.515,1.0,1.0,0.0,0.88,0.5,1.0,1.0
hp.dataset,7600845967297428080,-8451184111850694734,50.0,100.0,1.0,0.95,0.39,0.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.0,0.12,0.515,1.0,1.0,0.0,0.88,0.5,1.0,1.0
hp.dataset,-8430600965682934614,9179062204036777880,50.0,100.0,1.0,1.0,0.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.345,1.0,0.825,1.0,1.0,1.0,1.0,0.5,1.0,1.0
hp.dataset,9179062204036777880,-8430600965682934614,50.0,100.0,1.0,1.0,0.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.345,1.0,0.825,1.0,1.0,1.0,1.0,0.5,1.0,1.0
hp.dataset,-1131241026860610540,-8402150094314228241,50.0,100.0,1.0,1.0,0.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.5,1.0,1.0
hp.dataset,-8402150094314228241,-1131241026860610540,50.0,100.0,1.0,1.0,0.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.5,1.0,1.0
hp.dataset,-8366317602509314847,-933163013178144509,30.0,60.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.08333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.5,0.15,0.0
hp.dataset,-933163013178144509,-8366317602509314847,30.0,60.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.08333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.5,0.15,0.0
hp.dataset,-7402054332812169253,-8363579331059982035,50.0,100.0,0.48,1.0,0.34,0.04,0.02,0.0,0.73,0.65,0.33,0.65,0.02,0.0,0.73,0.65,0.0,0.12,0.595,1.0,1.0,0.0,0.9,0.5,1.0,1.0
hp.dataset,-8363579331059982035,-7402054332812169253,50.0,100.0,0.48,1.0,0.34,0.04,0.02,0.0,0.73,0.65,0.33,0.65,0.02,0.0,0.73,0.65,0.0,0.12,0.595,1.0,1.0,0.0,0.9,0.5,1.0,1.0
hp.dataset,-8357880928610342400,186349408542092120,47.29458879269788,99.18938519828687,0.0,0.0,1.0,0.9500133853796191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11703878317277848,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,186349408542092120,-8357880928610342400,47.29458879269788,99.18938519828687,0.0,0.0,1.0,0.9500133853796191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11703878317277848,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8351806330806683036,9222355256926258263,50.0,100.0,0.85,0.94,0.82,0.01,0.99,0.91,1.0,1.0,1.0,1.0,0.99,0.91,1.0,1.0,0.0,0.0,0.0,0.35,0.49,0.0,1.0,0.5,1.0,1.0
hp.dataset,9222355256926258263,-8351806330806683036,50.0,100.0,0.85,0.94,0.82,0.01,0.99,0.91,1.0,1.0,1.0,1.0,0.99,0.91,1.0,1.0,0.0,0.0,0.0,0.35,0.49,0.0,1.0,0.5,1.0,1.0
hp.dataset,-4979828364035740331,-8341212501136135624,50.0,100.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.76,1.0,0.0,0.0,0.5,0.92,0.4
hp.dataset,-8341212501136135624,-4979828364035740331,50.0,100.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.76,1.0,0.0,0.0,0.5,0.92,0.4
hp.dataset,-5149929675763726676,-8340120973819027914,40.0,80.0,0.0,0.0,0.4,0.0375,0.0,0.0,0.6,0.5375,0.375,0.5125,0.0,0.0,0.6,0.5375,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.5,0.2,0.0625
hp.dataset,-8340120973819027914,-5149929675763726676,40.0,80.0,0.0,0.0,0.4,0.0375,0.0,0.0,0.6,0.5375,0.375,0.5125,0.0,0.0,0.6,0.5375,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.5,0.2,0.0625
hp.dataset,-8337986049534276402,7748887720898484056,50.0,100.0,0.0,0.0,1.0,0.0,0.23,0.09,0.94,0.83,0.64,0.9,0.23,0.09,0.94,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.96,0.68
hp.dataset,7748887720898484056,-8337986049534276402,50.0,100.0,0.0,0.0,1.0,0.0,0.23,0.09,0.94,0.83,0.64,0.9,0.23,0.09,0.94,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.96,0.68
hp.dataset,-8321950659851529244,5511824241871334123,50.0,100.0,0.39,0.02,0.8,0.17,0.82,0.71,0.67,0.56,0.53,0.6,0.82,0.71,0.67,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.68,0.44
hp.dataset,5511824241871334123,-8321950659851529244,50.0,100.0,0.39,0.02,0.8,0.17,0.82,0.71,0.67,0.56,0.53,0.6,0.82,0.71,0.67,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.68,0.44
hp.dataset,-8321623774179490180,3624199122971023361,16.0,32.0,0.0,0.0,0.6875,0.09375,0.0,0.0,0.8125,0.8125,0.6875,0.8125,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,0.71875,0.0,0.0,0.5,0.3125,0.28125
hp.dataset,3624199122971023361,-8321623774179490180,16.0,32.0,0.0,0.0,0.6875,0.09375,0.0,0.0,0.8125,0.8125,0.6875,0.8125,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,0.71875,0.0,0.0,0.5,0.3125,0.28125
hp.dataset,-8319828484617507650,3475040449386687793,50.0,100.0,0.04,0.0,0.56,0.0,0.85,0.5,0.12,0.01,0.0,0.0,0.85,0.5,0.12,0.01,0.0,0.0,0.29,1.0,1.0,0.0,0.79,0.5,0.67,0.18
hp.dataset,3475040449386687793,-8319828484617507650,50.0,100.0,0.04,0.0,0.56,0.0,0.85,0.5,0.12,0.01,0.0,0.0,0.85,0.5,0.12,0.01,0.0,0.0,0.29,1.0,1.0,0.0,0.79,0.5,0.67,0.18
hp.dataset,-4310210967562221909,-8287116334866123104,50.0,100.0,0.03,0.0,1.0,0.0,0.61,0.25,0.0,0.0,0.0,0.0,0.61,0.25,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.87,0.5,0.39,0.03
hp.dataset,-8287116334866123104,-4310210967562221909,50.0,100.0,0.03,0.0,1.0,0.0,0.61,0.25,0.0,0.0,0.0,0.0,0.61,0.25,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.87,0.5,0.39,0.03
hp.dataset,-8272725209180933302,144956665308948354,5.467111633096501,19.35838148702812,0.0,0.0,1.0,0.7061637730967593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22825052960292733,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,144956665308948354,-8272725209180933302,5.467111633096501,19.35838148702812,0.0,0.0,1.0,0.7061637730967593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22825052960292733,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.dataset,-8266724701327222914,8205374111413484338,50.0,100.0,0.22,0.74,0.08,0.15,0.0,0.0,0.86,0.86,0.6,0.85,0.0,0.0,0.86,0.86,0.015,0.08,0.205,1.0,1.0,0.04,0.4,0.5,1.0,1.0
hp.dataset,8205374111413484338,-8266724701327222914,50.0,100.0,0.22,0.74,0.08,0.15,0.0,0.0,0.86,0.86,0.6,0.85,0.0,0.0,0.86,0.86,0.015,0.08,0.205,1.0,1.0,0.04,0.4,0.5,1.0,1.0
hp.dataset,-8256591239551068568,5176538597005464669,25.0,50.0,1.0,0.0,0.88,0.02,0.64,0.5,1.0,1.0,1.0,1.0,0.64,0.5,1.0,1.0,0.0,0.0,0.06,0.0,0.32,0.0,0.98,0.5,0.6,0.38
hp.dataset,5176538597005464669,-8256591239551068568,25.0,50.0,1.0,0.0,0.88,0.02,0.64,0.5,1.0,1.0,1.0,1.0,0.64,0.5,1.0,1.0,0.0,0.0,0.06,0.0,0.32,0.0,0.98,0.5,0.6,0.38
