hyperparameter,metric,environments,mean_sign_error,p90_sign_error,max_sign_error
hp.model_depth,complexity.log_prod_of_fro_over_margin,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.log_prod_of_spec_fft,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.log_prod_of_spec_over_margin_fft,2538,0.7911583924349882,1.0,1.0
hp.model_depth,complexity.log_spec_init_main_fft,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.log_spec_orig_main_fft,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.log_sum_of_fro,2538,0.30196656964431123,1.0,1.0
hp.model_depth,complexity.log_sum_of_fro_over_margin,2538,0.40581101632393546,1.0,1.0
hp.model_depth,complexity.log_sum_of_spec_fft,2538,0.31376852574918823,1.0,1.0
hp.model_depth,complexity.log_sum_of_spec_over_margin_fft,2538,0.3974223431296217,1.0,1.0
hp.model_depth,complexity.pacbayes_flatness,2538,0.19675348151657385,1.0,1.0
hp.model_depth,complexity.pacbayes_init,2538,0.19085725612462442,1.0,1.0
hp.model_depth,complexity.pacbayes_mag_flatness,2538,0.23013142966759423,1.0,1.0
hp.model_depth,complexity.pacbayes_mag_init,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.pacbayes_mag_orig,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.pacbayes_orig,2538,0.17681602316087164,1.0,1.0
hp.model_depth,complexity.param_norm,2538,0.2981447811675624,1.0,1.0
hp.model_depth,complexity.params,2538,0.7911741528762806,1.0,1.0
hp.model_depth,complexity.path_norm,2538,0.20757956478340983,1.0,1.0
hp.model_depth,complexity.path_norm_over_margin,2538,0.208083280104767,1.0,1.0
hp.model_width,complexity.dist_spec_init_fft,328,0.8165920400038584,1.0,1.0
hp.model_width,complexity.fro_dist,328,0.7210948704405494,1.0,1.0
hp.model_width,complexity.fro_over_spec_fft,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.inverse_margin,328,0.18280109313786688,0.5291013130484475,1.0
hp.model_width,complexity.log_prod_of_fro,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.log_prod_of_fro_over_margin,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.log_prod_of_spec_fft,328,0.644006379685468,1.0,1.0
hp.model_width,complexity.log_prod_of_spec_over_margin_fft,328,0.630155358703224,1.0,1.0
hp.model_width,complexity.log_spec_init_main_fft,328,0.6704249617774196,1.0,1.0
hp.model_width,complexity.log_spec_orig_main_fft,328,0.7598331182353708,1.0,1.0
hp.model_width,complexity.log_sum_of_fro,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.log_sum_of_fro_over_margin,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.log_sum_of_spec_fft,328,0.644006379685468,1.0,1.0
hp.model_width,complexity.log_sum_of_spec_over_margin_fft,328,0.630155358703224,1.0,1.0
hp.model_width,complexity.pacbayes_flatness,328,0.8953576535035425,1.0,1.0
hp.model_width,complexity.pacbayes_init,328,0.8047033524336349,1.0,1.0
hp.model_width,complexity.pacbayes_mag_flatness,328,0.15480288220712585,0.6048616861194193,1.0
hp.model_width,complexity.pacbayes_mag_init,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.pacbayes_mag_orig,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.pacbayes_orig,328,0.8441430452472097,1.0,1.0
hp.model_width,complexity.param_norm,328,0.7958501005061016,1.0,1.0
hp.model_width,complexity.params,328,0.9012691014457006,1.0,1.0
hp.model_width,complexity.path_norm,328,0.12890931840226955,0.9366540745154958,1.0
hp.model_width,complexity.path_norm_over_margin,328,0.10995380869482833,0.4741204870302154,1.0
hp.train_size,complexity.dist_spec_init_fft,2972,0.0,0.0,0.0
hp.train_size,complexity.fro_dist,2972,4.844441537860465e-05,0.0,0.06198839506793151
hp.train_size,complexity.fro_over_spec_fft,2972,0.0,0.0,0.0
hp.train_size,complexity.inverse_margin,2972,6.115765016103049e-07,0.0,0.0009088026813929131
hp.train_size,complexity.log_prod_of_fro,2972,0.016784579182637996,0.0,1.0
hp.train_size,complexity.log_prod_of_fro_over_margin,2972,0.02194143812959234,0.0,1.0
hp.train_size,complexity.log_prod_of_spec_fft,2972,0.5036368710401139,1.0,1.0
hp.train_size,complexity.log_prod_of_spec_over_margin_fft,2972,0.5457845510034076,1.0,1.0
hp.train_size,complexity.log_spec_init_main_fft,2972,0.49966517377961733,1.0,1.0
hp.train_size,complexity.log_spec_orig_main_fft,2972,0.46964916772604726,1.0,1.0
hp.train_size,complexity.log_sum_of_fro,2972,0.0,0.0,0.0
hp.train_size,complexity.log_sum_of_fro_over_margin,2972,0.0,0.0,0.0
hp.train_size,complexity.log_sum_of_spec_fft,2972,0.0,0.0,0.0
hp.train_size,complexity.log_sum_of_spec_over_margin_fft,2972,0.0,0.0,0.0
hp.train_size,complexity.pacbayes_flatness,2972,0.0,0.0,0.0
hp.train_size,complexity.pacbayes_init,2972,8.857408803692844e-05,0.0,0.09153488424932345
hp.train_size,complexity.pacbayes_mag_flatness,2972,0.003163945170470002,0.0,0.3
hp.train_size,complexity.pacbayes_mag_init,2972,0.0,0.0,0.0
hp.train_size,complexity.pacbayes_mag_orig,2972,0.0,0.0,0.0
hp.train_size,complexity.pacbayes_orig,2972,6.9547009556652045e-06,0.0,0.010334685620118494
hp.train_size,complexity.param_norm,2972,0.0,0.0,0.0
hp.train_size,complexity.params,2972,0.0,0.0,0.0
hp.train_size,complexity.path_norm,2972,0.019253216644268396,0.0,1.0
hp.train_size,complexity.path_norm_over_margin,2972,0.02660013604377915,0.0,1.0
